Book-Title,Book-Author,Year-Of-Publication,Image-URL-M
Harry Potter and the Sorcerer's Stone (Harry Potter (Paperback)),J. K. Rowling,1999,http://images.amazon.com/images/P/059035342X.01.MZZZZZZZ.jpg
Harvest,BELVA PLAIN,1991,http://images.amazon.com/images/P/0440208912.01.MZZZZZZZ.jpg
Heart of the Sea (Irish Trilogy),Nora Roberts,2000,http://images.amazon.com/images/P/0515128554.01.MZZZZZZZ.jpg
Heartbeat,Danielle Steel,1991,http://images.amazon.com/images/P/0385299087.01.MZZZZZZZ.jpg
Heartbreaker,Julie Garwood,2001,http://images.amazon.com/images/P/0671034006.01.MZZZZZZZ.jpg
Hearts In Atlantis,Stephen King,2000,http://images.amazon.com/images/P/0671024248.01.MZZZZZZZ.jpg
Hearts in Atlantis,Stephen King,2001,http://images.amazon.com/images/P/0743436210.01.MZZZZZZZ.jpg
Heaven and Earth (Three Sisters Island Trilogy),Nora Roberts,2003,http://images.amazon.com/images/P/0515132020.01.MZZZZZZZ.jpg
Hemlock Bay,Catherine Coulter,2002,http://images.amazon.com/images/P/0515133302.01.MZZZZZZZ.jpg
Here on Earth,Alice Hoffman,1998,http://images.amazon.com/images/P/0425167313.01.MZZZZZZZ.jpg
Hide &amp; Seek,James Patterson,1996,http://images.amazon.com/images/P/0446603716.01.MZZZZZZZ.jpg
Hideaway,Dean R. Koontz,1992,http://images.amazon.com/images/P/042513525X.01.MZZZZZZZ.jpg
High Fidelity,Nick Hornby,1996,http://images.amazon.com/images/P/1573225517.01.MZZZZZZZ.jpg
High Five (A Stephanie Plum Novel),Janet Evanovich,2000,http://images.amazon.com/images/P/0312971346.01.MZZZZZZZ.jpg
Holes (Yearling Newbery),LOUIS SACHAR,2000,http://images.amazon.com/images/P/0440414806.01.MZZZZZZZ.jpg
Homecoming,Cynthia Voigt,1990,http://images.amazon.com/images/P/0449702545.01.MZZZZZZZ.jpg
Homeport,Nora Roberts,1998,http://images.amazon.com/images/P/0399143874.01.MZZZZZZZ.jpg
Hornet's Nest,Patricia Daniels Cornwell,1997,http://images.amazon.com/images/P/0399142282.01.MZZZZZZZ.jpg
Hot Six : A Stephanie Plum Novel (A Stephanie Plum Novel),Janet Evanovich,2001,http://images.amazon.com/images/P/0312976275.01.MZZZZZZZ.jpg
House of Sand and Fog,Andre Dubus III,2000,http://images.amazon.com/images/P/0375727345.01.MZZZZZZZ.jpg
How Stella Got Her Groove Back,Terry McMillan,1998,http://images.amazon.com/images/P/0451197410.01.MZZZZZZZ.jpg
How to Be Good,Nick Hornby,2002,http://images.amazon.com/images/P/1573229326.01.MZZZZZZZ.jpg
How to Make an American Quilt,Whitney Otto,1992,http://images.amazon.com/images/P/0345370805.01.MZZZZZZZ.jpg
I Capture the Castle,Dodie Smith,2003,http://images.amazon.com/images/P/031231616X.01.MZZZZZZZ.jpg
I Is for Innocent,Sue Grafton,1994,http://images.amazon.com/images/P/0449221512.01.MZZZZZZZ.jpg
I Know This Much Is True,Wally Lamb,1999,http://images.amazon.com/images/P/0060987561.01.MZZZZZZZ.jpg
I Know This Much Is True (Oprah's Book Club),Wally Lamb,1998,http://images.amazon.com/images/P/0060391626.01.MZZZZZZZ.jpg
I Know Why the Caged Bird Sings,MAYA ANGELOU,1983,http://images.amazon.com/images/P/0553279378.01.MZZZZZZZ.jpg
I'll Be Seeing You,Mary Higgins Clark,1994,http://images.amazon.com/images/P/0671888587.01.MZZZZZZZ.jpg
Icebound,Dean R. Koontz,2000,http://images.amazon.com/images/P/0553582909.01.MZZZZZZZ.jpg
Icy Sparks,Gwyn Hyman Rubio,2001,http://images.amazon.com/images/P/0142000205.01.MZZZZZZZ.jpg
If Only It Were True,Marc Levy,2000,http://images.amazon.com/images/P/0743406176.01.MZZZZZZZ.jpg
If Tomorrow Comes,Sidney Sheldon,1986,http://images.amazon.com/images/P/0446329894.01.MZZZZZZZ.jpg
In Her Shoes : A Novel,Jennifer Weiner,2002,http://images.amazon.com/images/P/0743418190.01.MZZZZZZZ.jpg
Inner Harbor (Quinn Brothers (Paperback)),Nora Roberts,2001,http://images.amazon.com/images/P/0515124214.01.MZZZZZZZ.jpg
Insomnia,Stephen King,1994,http://images.amazon.com/images/P/0670855030.01.MZZZZZZZ.jpg
Intensity,DEAN KOONTZ,1996,http://images.amazon.com/images/P/0345384369.01.MZZZZZZZ.jpg
Interview with the Vampire,Anne Rice,1993,http://images.amazon.com/images/P/0345337662.01.MZZZZZZZ.jpg
Into Thin Air : A Personal Account of the Mt. Everest Disaster,JON KRAKAUER,1999,http://images.amazon.com/images/P/0385494785.01.MZZZZZZZ.jpg
Into the Wild,Jon Krakauer,1997,http://images.amazon.com/images/P/0385486804.01.MZZZZZZZ.jpg
Invasion,Robin Cook,1997,http://images.amazon.com/images/P/0425155404.01.MZZZZZZZ.jpg
Irish Hearts,Nora Roberts,2000,http://images.amazon.com/images/P/0373484003.01.MZZZZZZZ.jpg
Isle of Dogs,Patricia Cornwell,2002,http://images.amazon.com/images/P/0425182908.01.MZZZZZZZ.jpg
It,Stephen King,0,http://images.amazon.com/images/P/0450411435.01.MZZZZZZZ.jpg
It Was on Fire When I Lay Down on It,Robert Fulghum,1989,http://images.amazon.com/images/P/0394580567.01.MZZZZZZZ.jpg
It's Always Something,Gilda Radner,1990,http://images.amazon.com/images/P/0380710722.01.MZZZZZZZ.jpg
J Is for Judgment,Sue Grafton,1999,http://images.amazon.com/images/P/0449221482.01.MZZZZZZZ.jpg
Jack &amp; Jill (Alex Cross Novels),James Patterson,1997,http://images.amazon.com/images/P/0446604801.01.MZZZZZZZ.jpg
Jacob Have I Loved,Katherine Paterson,1981,http://images.amazon.com/images/P/0380564998.01.MZZZZZZZ.jpg
Jemima J: A Novel About Ugly Ducklings and Swans,Jane Green,2001,http://images.amazon.com/images/P/0767905180.01.MZZZZZZZ.jpg
Jewel,Bret Lott,1999,http://images.amazon.com/images/P/0671038184.01.MZZZZZZZ.jpg
Jewel (Oprah's Book Club),Bret Lott,1999,http://images.amazon.com/images/P/0671042572.01.MZZZZZZZ.jpg
Jewels of the Sun (Irish Trilogy),Nora Roberts,2004,http://images.amazon.com/images/P/0515126772.01.MZZZZZZZ.jpg
Journey,James A. Michener,1994,http://images.amazon.com/images/P/0449218473.01.MZZZZZZZ.jpg
Jurassic Park,Michael Crichton,1999,http://images.amazon.com/images/P/0345370775.01.MZZZZZZZ.jpg
K Is for Killer (Kinsey Millhone Mysteries (Paperback)),Sue Grafton,1999,http://images.amazon.com/images/P/0449221504.01.MZZZZZZZ.jpg
Kaleidoscope,June Stepansky,2000,http://images.amazon.com/images/P/0884092097.01.MZZZZZZZ.jpg
Key of Knowledge (Key Trilogy (Paperback)),Nora Roberts,2003,http://images.amazon.com/images/P/0515136379.01.MZZZZZZZ.jpg
Key of Light (Key Trilogy (Paperback)),Nora Roberts,2003,http://images.amazon.com/images/P/051513628X.01.MZZZZZZZ.jpg
"Key of Valor (Roberts, Nora. Key Trilogy, 3.)",Nora Roberts,2003,http://images.amazon.com/images/P/0515136530.01.MZZZZZZZ.jpg
Killjoy,Julie Garwood,2003,http://images.amazon.com/images/P/0345453816.01.MZZZZZZZ.jpg
Kiss the Girls,James Patterson,1995,http://images.amazon.com/images/P/0446601241.01.MZZZZZZZ.jpg
L Is for Lawless,Sue Grafton,1996,http://images.amazon.com/images/P/0449221490.01.MZZZZZZZ.jpg
Ladder of Years,Anne Tyler,1995,http://images.amazon.com/images/P/0679441557.01.MZZZZZZZ.jpg
Lake Wobegon Days,Garrison Keillor,1990,http://images.amazon.com/images/P/0140099832.01.MZZZZZZZ.jpg
"Lamb : The Gospel According to Biff, Christ's Childhood Pal",Christopher Moore,2003,http://images.amazon.com/images/P/0380813815.01.MZZZZZZZ.jpg
Last Chance Saloon,Marian Keyes,2003,http://images.amazon.com/images/P/0060086246.01.MZZZZZZZ.jpg
Last Man Standing,David Baldacci,2001,http://images.amazon.com/images/P/0446525804.01.MZZZZZZZ.jpg
Left Behind: A Novel of the Earth's Last Days (Left Behind No. 1),Tim Lahaye,1996,http://images.amazon.com/images/P/0842329129.01.MZZZZZZZ.jpg
Let Me Call You Sweetheart,Mary Higgins Clark,1996,http://images.amazon.com/images/P/0671568175.01.MZZZZZZZ.jpg
Life of Pi,Yann Martel,2002,http://images.amazon.com/images/P/0151008116.01.MZZZZZZZ.jpg
Lightning,Dean R. Koontz,1996,http://images.amazon.com/images/P/0425115801.01.MZZZZZZZ.jpg
"Like Water for Chocolate : A Novel in Monthly Installments with Recipes, Romances, and Home Remedies",LAURA ESQUIVEL,1995,http://images.amazon.com/images/P/038542017X.01.MZZZZZZZ.jpg
"Like Water for Chocolate: A Novel in Monthly Installments With Recipes, Romances and Home Remedies",Laura Esquivel,1994,http://images.amazon.com/images/P/0385474016.01.MZZZZZZZ.jpg
"Like Water for Chocolate: A Novel in Monthly Installments, With Recipes, Romances, and Home Remedies",Laura Esquivel,1992,http://images.amazon.com/images/P/0385420161.01.MZZZZZZZ.jpg
Little Altars Everywhere: A Novel,Rebecca Wells,1996,http://images.amazon.com/images/P/0060976845.01.MZZZZZZZ.jpg
Long After Midnight,IRIS JOHANSEN,1997,http://images.amazon.com/images/P/0553571818.01.MZZZZZZZ.jpg
Lord of the Flies,William Gerald Golding,1959,http://images.amazon.com/images/P/0399501487.01.MZZZZZZZ.jpg
Love in the Time of Cholera (Penguin Great Books of the 20th Century),Gabriel Garcia Marquez,1994,http://images.amazon.com/images/P/0140119906.01.MZZZZZZZ.jpg
"Loves Music, Loves to Dance",Mary Higgins Clark,1992,http://images.amazon.com/images/P/0671758896.01.MZZZZZZZ.jpg
Lucky : A Memoir,Alice Sebold,2002,http://images.amazon.com/images/P/0316096199.01.MZZZZZZZ.jpg
M Is for Malice,Sue Grafton,1998,http://images.amazon.com/images/P/0449223604.01.MZZZZZZZ.jpg
Macgregor Brides (Macgregors),Nora Roberts,1997,http://images.amazon.com/images/P/0373483503.01.MZZZZZZZ.jpg
Macgregor Grooms (Macgregors),Nora Roberts,1998,http://images.amazon.com/images/P/0373483694.01.MZZZZZZZ.jpg
Master of the Game,Sidney Sheldon,1983,http://images.amazon.com/images/P/0446802204.01.MZZZZZZZ.jpg
Matilda,Roald Dahl,1990,http://images.amazon.com/images/P/014034294X.01.MZZZZZZZ.jpg
Me Talk Pretty One Day,David Sedaris,2001,http://images.amazon.com/images/P/0316776963.01.MZZZZZZZ.jpg
"Men Are from Mars, Women Are from Venus: A Practical Guide for Improving Communication and Getting What You Want in Your Relationships",John Gray,1992,http://images.amazon.com/images/P/006016848X.01.MZZZZZZZ.jpg
Mercy,Julie Garwood,2002,http://images.amazon.com/images/P/0671034022.01.MZZZZZZZ.jpg
Message from Nam,Danielle Steel,1991,http://images.amazon.com/images/P/0440209412.01.MZZZZZZZ.jpg
Message in a Bottle,Nicholas Sparks,1998,http://images.amazon.com/images/P/0446523569.01.MZZZZZZZ.jpg
Middlesex: A Novel,Jeffrey Eugenides,2003,http://images.amazon.com/images/P/0312422156.01.MZZZZZZZ.jpg
Midnight,Dean R. Koontz,1995,http://images.amazon.com/images/P/0425118703.01.MZZZZZZZ.jpg
Midnight Bayou,Nora Roberts,2001,http://images.amazon.com/images/P/0399148248.01.MZZZZZZZ.jpg
Midnight in the Garden of Good and Evil,John Berendt,1999,http://images.amazon.com/images/P/0679751521.01.MZZZZZZZ.jpg
Midnight in the Garden of Good and Evil: A Savannah Story,John Berendt,1994,http://images.amazon.com/images/P/0679429220.01.MZZZZZZZ.jpg
Midwives: A Novel,Chris Bohjalian,1998,http://images.amazon.com/images/P/0375706771.01.MZZZZZZZ.jpg
Mind Prey,John Sandford,2004,http://images.amazon.com/images/P/0425152898.01.MZZZZZZZ.jpg
Mirror Image,Danielle Steel,1999,http://images.amazon.com/images/P/0440224772.01.MZZZZZZZ.jpg
Misery,Stephen King,1988,http://images.amazon.com/images/P/0451153553.01.MZZZZZZZ.jpg
Miss Julia Speaks Her Mind : A Novel,Ann B. Ross,2000,http://images.amazon.com/images/P/0688177751.01.MZZZZZZZ.jpg
Montana Sky,Nora Roberts,2000,http://images.amazon.com/images/P/0515120618.01.MZZZZZZZ.jpg
Moo,Jane Smiley,1996,http://images.amazon.com/images/P/0449910237.01.MZZZZZZZ.jpg
Moonlight Becomes You,Mary Higgins Clark,1997,http://images.amazon.com/images/P/0671867113.01.MZZZZZZZ.jpg
Morality for Beautiful Girls (No.1 Ladies Detective Agency),Alexander McCall Smith,2002,http://images.amazon.com/images/P/1400031362.01.MZZZZZZZ.jpg
Mortal Fear,Greg Iles,1998,http://images.amazon.com/images/P/0451180410.01.MZZZZZZZ.jpg
Mortal Prey,John Sandford,2003,http://images.amazon.com/images/P/0425189864.01.MZZZZZZZ.jpg
Mother of Pearl,Melinda Haynes,1999,http://images.amazon.com/images/P/0786866276.01.MZZZZZZZ.jpg
Mr. Murder,Dean R. Koontz,1996,http://images.amazon.com/images/P/0425144429.01.MZZZZZZZ.jpg
My Gal Sunday,Mary Higgins Clark,1996,http://images.amazon.com/images/P/0684832291.01.MZZZZZZZ.jpg
Mystic River,Dennis Lehane,2002,http://images.amazon.com/images/P/0380731851.01.MZZZZZZZ.jpg
N Is for Noose,Sue Grafton,1999,http://images.amazon.com/images/P/0449223612.01.MZZZZZZZ.jpg
Naked,David Sedaris,1998,http://images.amazon.com/images/P/0316777730.01.MZZZZZZZ.jpg
Needful Things,Stephen King,1993,http://images.amazon.com/images/P/0451178599.01.MZZZZZZZ.jpg
Nerd in Shining Armor,Vicki Lewis Thompson,2003,http://images.amazon.com/images/P/0440241162.01.MZZZZZZZ.jpg
Neverwhere,Neil Gaiman,1998,http://images.amazon.com/images/P/0380789019.01.MZZZZZZZ.jpg
Nickel and Dimed: On (Not) Getting By in America,Barbara Ehrenreich,2002,http://images.amazon.com/images/P/0805063897.01.MZZZZZZZ.jpg
Nicolae: The Rise of Antichrist (Left Behind No. 3),Tim F. Lahaye,1998,http://images.amazon.com/images/P/0842329242.01.MZZZZZZZ.jpg
Night,Elie Wiesel,1982,http://images.amazon.com/images/P/0553272535.01.MZZZZZZZ.jpg
Night Prey,John Sandford,2004,http://images.amazon.com/images/P/0425146413.01.MZZZZZZZ.jpg
Night Sins,TAMI HOAG,1995,http://images.amazon.com/images/P/055356451X.01.MZZZZZZZ.jpg
Night Whispers,Judith McNaught,1999,http://images.amazon.com/images/P/0671525743.01.MZZZZZZZ.jpg
Nightmares &amp; Dreamscapes,Stephen King,2004,http://images.amazon.com/images/P/0451180232.01.MZZZZZZZ.jpg
Nights in Rodanthe,Nicholas Sparks,2002,http://images.amazon.com/images/P/0446531332.01.MZZZZZZZ.jpg
No Greater Love,William X. Kienzle,1999,http://images.amazon.com/images/P/0836278658.01.MZZZZZZZ.jpg
No Safe Place,RICHARD NORTH PATTERSON,1999,http://images.amazon.com/images/P/0345404777.01.MZZZZZZZ.jpg
Notes from a Small Island,Bill Bryson,1997,http://images.amazon.com/images/P/0380727501.01.MZZZZZZZ.jpg
Nothing Lasts Forever,Sidney Sheldon,1994,http://images.amazon.com/images/P/0688084915.01.MZZZZZZZ.jpg
Now You See Her,Linda Howard,2003,http://images.amazon.com/images/P/0743482891.01.MZZZZZZZ.jpg
On the Street Where You Live,Mary Higgins Clark,2002,http://images.amazon.com/images/P/0671004530.01.MZZZZZZZ.jpg
One Door Away from Heaven,Dean R. Koontz,2002,http://images.amazon.com/images/P/0553582755.01.MZZZZZZZ.jpg
One True Thing,Anna Quindlen,1994,http://images.amazon.com/images/P/067940712X.01.MZZZZZZZ.jpg
One for the Money (A Stephanie Plum Novel),Janet Evanovich,2003,http://images.amazon.com/images/P/0312990456.01.MZZZZZZZ.jpg
One for the Money (Stephanie Plum Novels (Paperback)),Janet Evanovich,1995,http://images.amazon.com/images/P/0061009059.01.MZZZZZZZ.jpg
Oryx and Crake,Margaret Atwood,2003,http://images.amazon.com/images/P/0385503857.01.MZZZZZZZ.jpg
Outlander,DIANA GABALDON,1996,http://images.amazon.com/images/P/0440222915.01.MZZZZZZZ.jpg
Over the Edge,Jonathan Kellerman,1993,http://images.amazon.com/images/P/0451152190.01.MZZZZZZZ.jpg
P Is for Peril,Sue Grafton,2002,http://images.amazon.com/images/P/0449003795.01.MZZZZZZZ.jpg
Paradise,Toni Morrison,1998,http://images.amazon.com/images/P/0679433740.01.MZZZZZZZ.jpg
Patriot Games (Jack Ryan Novels),Tom Clancy,1992,http://images.amazon.com/images/P/0425109720.01.MZZZZZZZ.jpg
Pay It Forward,Catherine Ryan Hyde,2000,http://images.amazon.com/images/P/0743412028.01.MZZZZZZZ.jpg
Peace Like a River,Leif Enger,2002,http://images.amazon.com/images/P/0802139256.01.MZZZZZZZ.jpg
Pet Sematary,Stephen King,1994,http://images.amazon.com/images/P/0451162072.01.MZZZZZZZ.jpg
Phantoms,Dean R. Koontz,1996,http://images.amazon.com/images/P/0425101452.01.MZZZZZZZ.jpg
Pigs in Heaven,Barbara Kingsolver,1993,http://images.amazon.com/images/P/0060168013.01.MZZZZZZZ.jpg
Plainsong (Vintage Contemporaries),KENT HARUF,2000,http://images.amazon.com/images/P/0375705856.01.MZZZZZZZ.jpg
Pleading Guilty,Scott Turow,1994,http://images.amazon.com/images/P/0446365505.01.MZZZZZZZ.jpg
Plum Island,Nelson DeMille,1998,http://images.amazon.com/images/P/0446605409.01.MZZZZZZZ.jpg
Point of Origin,Patricia Daniels Cornwell,1999,http://images.amazon.com/images/P/0425169863.01.MZZZZZZZ.jpg
Politically Correct Bedtime Stories: Modern Tales for Our Life and Times,James Finn Garner,1994,http://images.amazon.com/images/P/002542730X.01.MZZZZZZZ.jpg
Pop Goes the Weasel,James Patterson,1999,http://images.amazon.com/images/P/0316693286.01.MZZZZZZZ.jpg
Portrait in Death,Nora Roberts,2003,http://images.amazon.com/images/P/0425189031.01.MZZZZZZZ.jpg
Possession : A Romance,A.S. BYATT,1991,http://images.amazon.com/images/P/0679735909.01.MZZZZZZZ.jpg
Postmortem,Patricia Daniels Cornwell,1993,http://images.amazon.com/images/P/0380710218.01.MZZZZZZZ.jpg
Practical Magic,Alice Hoffman,1998,http://images.amazon.com/images/P/0425168468.01.MZZZZZZZ.jpg
Presumed Innocent,Scott Turow,1989,http://images.amazon.com/images/P/0446359866.01.MZZZZZZZ.jpg
Pretend You Don't See Her,Mary Higgins Clark,1998,http://images.amazon.com/images/P/0671867156.01.MZZZZZZZ.jpg
Pride and Prejudice,Jane Austen,1983,http://images.amazon.com/images/P/055321215X.01.MZZZZZZZ.jpg
Primary Colors: A Novel of Politics,Anonymous,1996,http://images.amazon.com/images/P/0679448594.01.MZZZZZZZ.jpg
Prime Cut,Diane Mott Davidson,2000,http://images.amazon.com/images/P/0553574671.01.MZZZZZZZ.jpg
Prodigal Summer,Barbara Kingsolver,2000,http://images.amazon.com/images/P/0060199652.01.MZZZZZZZ.jpg
Purity in Death,J.D. Robb,2002,http://images.amazon.com/images/P/042518630X.01.MZZZZZZZ.jpg
Q Is for Quarry,Sue Grafton,2003,http://images.amazon.com/images/P/0425192725.01.MZZZZZZZ.jpg
Rainbow Six,Tom Clancy,1998,http://images.amazon.com/images/P/0399144137.01.MZZZZZZZ.jpg
Range of Motion,Elizabeth Berg,1996,http://images.amazon.com/images/P/0515119784.01.MZZZZZZZ.jpg
Rebecca,Daphne Du Maurier,1994,http://images.amazon.com/images/P/0380778556.01.MZZZZZZZ.jpg
Red Dragon,Thomas Harris,2000,http://images.amazon.com/images/P/0440206154.01.MZZZZZZZ.jpg
Red Storm Rising,Tom Clancy,1997,http://images.amazon.com/images/P/042510107X.01.MZZZZZZZ.jpg
Remember Me,Mary Higgins Clark,1995,http://images.amazon.com/images/P/0671867091.01.MZZZZZZZ.jpg
Riptide,Catherine Coulter,2001,http://images.amazon.com/images/P/0515130966.01.MZZZZZZZ.jpg
Rising Sun,MICHAEL CRICHTON,1992,http://images.amazon.com/images/P/0345380371.01.MZZZZZZZ.jpg
Rising Tides,Nora Roberts,2001,http://images.amazon.com/images/P/051512317X.01.MZZZZZZZ.jpg
River's End,Nora Roberts,2003,http://images.amazon.com/images/P/0515127833.01.MZZZZZZZ.jpg
"River, Cross My Heart",Breena Clarke,1999,http://images.amazon.com/images/P/0316899984.01.MZZZZZZZ.jpg
Rose Madder,Stephen King,2004,http://images.amazon.com/images/P/0451186362.01.MZZZZZZZ.jpg
Roses Are Red (Alex Cross Novels),James Patterson,2001,http://images.amazon.com/images/P/0446605484.01.MZZZZZZZ.jpg
Rules of Prey,John Sandford,1992,http://images.amazon.com/images/P/0425121631.01.MZZZZZZZ.jpg
SHIPPING NEWS,Annie Proulx,1994,http://images.amazon.com/images/P/0671510053.01.MZZZZZZZ.jpg
STONES FROM THE RIVER,Ursula Hegi,1997,http://images.amazon.com/images/P/0684844729.01.MZZZZZZZ.jpg
Sacred Sins,Nora Roberts,1990,http://images.amazon.com/images/P/0553265741.01.MZZZZZZZ.jpg
Saint Maybe,ANNE TYLER,1992,http://images.amazon.com/images/P/0804108749.01.MZZZZZZZ.jpg
Sanctuary,Nora Roberts,2004,http://images.amazon.com/images/P/0515122734.01.MZZZZZZZ.jpg
Saving Faith,David Baldacci,2000,http://images.amazon.com/images/P/0446608890.01.MZZZZZZZ.jpg
Scarlet Feather,Maeve Binchy,2001,http://images.amazon.com/images/P/0525945938.01.MZZZZZZZ.jpg
"Scarlett : The Sequel to Margaret Mitchell's \Gone With the Wind\""""",Alexandra Ripley,1992,http://images.amazon.com/images/P/0446363251.01.MZZZZZZZ.jpg
Schindler's List,Thomas Keneally,1993,http://images.amazon.com/images/P/0671880314.01.MZZZZZZZ.jpg
Sea Glass: A Novel,Anita Shreve,2003,http://images.amazon.com/images/P/0316089699.01.MZZZZZZZ.jpg
Sea Swept (Quinn Brothers (Paperback)),Nora Roberts,2001,http://images.amazon.com/images/P/0515121843.01.MZZZZZZZ.jpg
Seabiscuit,LAURA HILLENBRAND,2003,http://images.amazon.com/images/P/0345465083.01.MZZZZZZZ.jpg
Seabiscuit: An American Legend,LAURA HILLENBRAND,2002,http://images.amazon.com/images/P/0449005615.01.MZZZZZZZ.jpg
Second Nature,Alice Hoffman,1994,http://images.amazon.com/images/P/0399139087.01.MZZZZZZZ.jpg
Secret History,DONNA TARTT,1993,http://images.amazon.com/images/P/0804111359.01.MZZZZZZZ.jpg
Secrets,DANIELLE STEEL,1986,http://images.amazon.com/images/P/0440176484.01.MZZZZZZZ.jpg
Seize the Night,DEAN KOONTZ,1998,http://images.amazon.com/images/P/0553106651.01.MZZZZZZZ.jpg
Seven Habits Of Highly Effective People,Stephen R. Covey,1990,http://images.amazon.com/images/P/0671708635.01.MZZZZZZZ.jpg
Seven Up (A Stephanie Plum Novel),Janet Evanovich,2001,http://images.amazon.com/images/P/0312265840.01.MZZZZZZZ.jpg
Shadow Prey,John Sandford,1990,http://images.amazon.com/images/P/039913543X.01.MZZZZZZZ.jpg
Shadowfires,Dean R. Koontz,1994,http://images.amazon.com/images/P/0425136981.01.MZZZZZZZ.jpg
Shattered,Dean R. Koontz,1993,http://images.amazon.com/images/P/0425099334.01.MZZZZZZZ.jpg
She's Come Undone (Oprah's Book Club (Paperback)),Wally Lamb,1996,http://images.amazon.com/images/P/0671003755.01.MZZZZZZZ.jpg
She's Come Undone (Oprah's Book Club),Wally Lamb,1998,http://images.amazon.com/images/P/0671021001.01.MZZZZZZZ.jpg
Shell Seekers,Rosamunde Pilcher,1996,http://images.amazon.com/images/P/0440202043.01.MZZZZZZZ.jpg
Shopaholic Takes Manhattan (Summer Display Opportunity),Sophie Kinsella,2002,http://images.amazon.com/images/P/0385335881.01.MZZZZZZZ.jpg
Shopaholic Ties the Knot,Sophie Kinsella,2003,http://images.amazon.com/images/P/0385336179.01.MZZZZZZZ.jpg
Sick Puppy,Carl Hiaasen,2001,http://images.amazon.com/images/P/0446604666.01.MZZZZZZZ.jpg
Silence of the Lambs,Thomas Harris,1991,http://images.amazon.com/images/P/0312924585.01.MZZZZZZZ.jpg
Silent Witness,RICHARD NORTH PATTERSON,1997,http://images.amazon.com/images/P/0345404769.01.MZZZZZZZ.jpg
Skeleton Crew,Stephen King,1986,http://images.amazon.com/images/P/0451168615.01.MZZZZZZZ.jpg
Skipping Christmas,JOHN GRISHAM,2001,http://images.amazon.com/images/P/0385505833.01.MZZZZZZZ.jpg
Slammerkin,Emma Donoghue,2001,http://images.amazon.com/images/P/0151006725.01.MZZZZZZZ.jpg
Sleepers,Lorenzo Carcaterra,1996,http://images.amazon.com/images/P/0345404114.01.MZZZZZZZ.jpg
Slow Waltz in Cedar Bend,Robert James Waller,1994,http://images.amazon.com/images/P/0446601640.01.MZZZZZZZ.jpg
Small Town Girl,LaVyrle Spencer,1997,http://images.amazon.com/images/P/0399142495.01.MZZZZZZZ.jpg
Smart Women,Judy Blume,1990,http://images.amazon.com/images/P/0671727583.01.MZZZZZZZ.jpg
Smilla's Sense of Snow,Peter Hoeg,1997,http://images.amazon.com/images/P/0440218535.01.MZZZZZZZ.jpg
Snow Falling on Cedars,David Guterson,1994,http://images.amazon.com/images/P/0151001006.01.MZZZZZZZ.jpg
Sole Survivor,DEAN KOONTZ,1997,http://images.amazon.com/images/P/0679425268.01.MZZZZZZZ.jpg
Song of Solomon (Oprah's Book Club (Paperback)),Toni Morrison,1987,http://images.amazon.com/images/P/0452260116.01.MZZZZZZZ.jpg
Songs in Ordinary Time (Oprah's Book Club (Paperback)),Mary McGarry Morris,1996,http://images.amazon.com/images/P/0140244824.01.MZZZZZZZ.jpg
Sophie's World: A Novel About the History of Philosophy,Jostein Gaarder,1996,http://images.amazon.com/images/P/0425152251.01.MZZZZZZZ.jpg
Southern Cross,Patricia Daniels Cornwell,1999,http://images.amazon.com/images/P/039914465X.01.MZZZZZZZ.jpg
Sphere,MICHAEL CRICHTON,1988,http://images.amazon.com/images/P/0345353145.01.MZZZZZZZ.jpg
Standoff,Sandra Brown,2000,http://images.amazon.com/images/P/0446527017.01.MZZZZZZZ.jpg
Stanislaski Brothers (Silhouette Promo),Nora Roberts,2000,http://images.amazon.com/images/P/0373484224.01.MZZZZZZZ.jpg
Still Waters,TAMI HOAG,1992,http://images.amazon.com/images/P/0553292722.01.MZZZZZZZ.jpg
Stillwatch,MARY HIGGINS CLARK,1986,http://images.amazon.com/images/P/0440183057.01.MZZZZZZZ.jpg
Strangers,Dean R. Koontz,2002,http://images.amazon.com/images/P/0425181111.01.MZZZZZZZ.jpg
Stupid White Men ...and Other Sorry Excuses for the State of the Nation!,Michael Moore,2002,http://images.amazon.com/images/P/0060392452.01.MZZZZZZZ.jpg
Sudden Prey,John Sandford,1997,http://images.amazon.com/images/P/0425157539.01.MZZZZZZZ.jpg
Summer Pleasures,Nora Roberts,2002,http://images.amazon.com/images/P/0373218397.01.MZZZZZZZ.jpg
Summer Sisters,Judy Blume,1998,http://images.amazon.com/images/P/0385324057.01.MZZZZZZZ.jpg
Suzanne's Diary for Nicholas,James Patterson,2001,http://images.amazon.com/images/P/0316969443.01.MZZZZZZZ.jpg
Tales of a Fourth Grade Nothing,JUDY BLUME,1976,http://images.amazon.com/images/P/044048474X.01.MZZZZZZZ.jpg
Taltos: Lives of the Mayfair Witches,Anne Rice,1996,http://images.amazon.com/images/P/0345404319.01.MZZZZZZZ.jpg
Tara Road,Maeve Binchy,2000,http://images.amazon.com/images/P/0440235596.01.MZZZZZZZ.jpg
Tears of the Giraffe (No.1 Ladies Detective Agency),Alexander McCall Smith,2002,http://images.amazon.com/images/P/1400031354.01.MZZZZZZZ.jpg
Tears of the Moon (Irish Trilogy),Nora Roberts,2000,http://images.amazon.com/images/P/0515128546.01.MZZZZZZZ.jpg
